Question Number|Question|Choices|Correct Answer|Translation
13|"Ποια είναι η επαρχία της Κύπρου που φημίζεται για την Παναγία της Ασίνου ή Παναγία Φορβιώτισσα, η οποία είναι μέρος της Παγκόσμιας Κληρονομιάς της UNESCO;"|"Α) Λευκωσία, Β) Λεμεσός, Γ) Πάφος, Δ) Λάρνακα"|0|"Какая провинция Кипра знаменита Панагией Асину или Панагией Форвиотиссой, которые являются частью Всемирного наследия ЮНЕСКО? Α) Никосия, Β) Лимасол, Γ) Пафос, Δ) Ларнака"
14|"Ποιος αρχαιολογικός χώρος στην Κύπρο αποτελεί μνημείο της Παγκόσμιας Κληρονομιάς της UNESCO;"|"Α) Αρχαία Σαλαμίς, Β) Αρχαία Κούριος, Γ) Τάφοι των βασιλέων, Δ) Αρχαία Κίτιο"|2|"Какой археологический памятник на Кипре является объектом Всемирного наследия ЮНЕСКО? Α) Древний Саламин, Β) Древний Курион, Γ) Гробницы царей, Δ) Древний Китион"
15|"Ποια είναι η φημισμένη αρχαιολογική περιοχή της Κύπρου που περιλαμβάνει την Αφροδίτη, μια από τις πιο διάσημες ανακαλύψεις της αρχαιότητας;"|"Α) Αρχαιότητες της Λεμεσού, Β) Αρχαιότητες της Πάφου, Γ) Αρχαιότητες της Αγίας Νάπας, Δ) Αρχαιότητες της Λάρνακας"|1|"Какая известная археологическая зона Кипра включает Афродиту, одно из самых знаменитых открытий древности? Α) Древности Лимасола, Β) Древности Пафоса, Γ) Древности Айя-Напы, Δ) Древности Ларнаки"
16|"Ποια παραδοσιακή κυπριακή σούπα παρασκευάζεται από τη μίξη αλευριού, γιαουρτιού και ξινόγαλου;"|"Α) Μακαρόνια του φούρνου, Β) Μούγερα, Γ) Κολοκυθόσουπα, Δ) Τραχανάς"|3|"Какой традиционный кипрский суп готовится из смеси муки, йогурта и кислого молока? Α) Паста запеченная, Β) Муджера, Γ) Тыквенный суп, Δ) Траханас"
17|"Ποιο είναι το παραδοσιακό κυπριακό πιάτο με κουνέλι ή μοσχάρι, φρέσκες ντομάτες, κρεμμύδια και πολλά μπαχαρικά;"|"Α) Μουσακάς, Β) Σουβλάκι, Γ) Στιφάδο, Δ) Αφροδίτης"|2|"Какое традиционное кипрское блюдо готовится из кролика или говядины, свежих помидоров, лука и множества специй? Α) Мусака, Β) Шашлык, Γ) Стифадо, Δ) Афродитис"
18|"Ποιο είναι το παραδοσιακό κυπριακό τυρί με έντονη γεύση και αρωματικά βότανα;"|"Α) Χαλλούμι, Β) Ανθότυρο, Γ) Αναργύρειο, Δ) Ανακούφι"|0|"Какой традиционный кипрский сыр с ярким вкусом и ароматными травами? Α) Халлуми, Β) Антотиро, Γ) Анаргирио, Δ) Анакуфи"
19|"Ποιο είναι το παραδοσιακό κυπριακό φαγητό που αποτελείται από κιμά, πουργούρι και διάφορα μπαχαρικά;"|"Α) Κεμπάπ, Β) Κοτομπούλι, Γ) Κούπες, Δ) Σουβλάκια"|2|"Какое традиционное кипрское блюдо состоит из фарша, булгура и различных специй? Α) Кебаб, Β) Котомбули, Γ) Купес, Δ) Шашлыки"
20|"Ποια είναι η επίσημη γλώσσα που χρησιμοποιείται στις δημόσιες υπηρεσίες της Κύπρου;"|"Α) Αγγλικά, Β) Ελληνικά, Γ) Τουρκικά, Δ) Γαλλικά"|1|"Какой официальный язык используется в государственных службах Кипра? Α) Английский, Β) Греческий, Γ) Турецкий, Δ) Французский"
21|"Ποιος είναι ο εθνικός φορέας της τηλεπικοινωνίας στην Κύπρο;"|"Α) CYTA (Εθνική Τηλεπικοινωνιακή Αρχή), Β) Vodafone, Γ) MTN Cyprus, Δ) Primetel"|0|"Кто является национальным оператором связи на Кипре? Α) CYTA (Национальное управление телекоммуникаций), Β) Vodafone, Γ) MTN Cyprus, Δ) Primetel"
22|"Ποιος είναι ο κυπριακός οργανισμός που ασχολείται με την ασφάλεια και την υγεία στον εργασιακό χώρο;"|"Α) Υπηρεσία Εργασίας, Β) Υπηρεσία Υγείας, Γ) Υπηρεσία Ασφάλειας και Υγείας στην Εργασία, Δ) Υπηρεσία Κοινωνικών Ασφαλίσεων"|0|"Какая кипрская организация занимается безопасностью и здоровьем на рабочем месте? Α) Служба труда, Β) Служба здравоохранения, Γ) Служба безопасности и здоровья на работе, Δ) Служба социального обеспечения"
23|"Ποιος είναι ο εθνικός τραπεζικός οργανισμός της Κύπρου;"|"Α) Τράπεζα Κύπρου, Β) Τράπεζα Πειραιώς, Γ) Ελληνική Εθνική Τράπεζα, Δ) Τράπεζα Πειραιώς Κύπρου"|0|"Какая организация является национальным банком Кипра? Α) Банк Кипра, Β) Банк Пирея, Γ) Греческий национальный банк, Δ) Банк Пирея Кипра"
24|"Ποιος είναι ο μεγαλύτερος ποταμός στην Κύπρο;"|"Α) Πεδιαίος Ποταμός, Β) Γεροσκήπου Ποταμός, Γ) Κουρής Ποταμός, Δ) Δίρκος Ποταμός"|0|"Какая самая большая река на Кипре? Α) Река Педиос, Β) Река Героскипу, Γ) Река Курис, Δ) Река Диркос"
25|"Ποιος είναι ο ψηλότερος βουνόκορφος της Κύπρου;"|"Α) Όρος Τρόοδος, Β) Όρος Ολύμπος, Γ) Όρος Μαχαιράς, Δ) Όρος Πάρνασσος"|1|"Какая самая высокая гора на Кипре? Α) Гора Троодос, Β) Гора Олимп, Γ) Гора Махерас, Δ) Гора Парнас"
26|"Ποια είναι η μεγαλύτερη αλυκή στην Κύπρο;"|"Α) Αλυκή Λάρνακας, Β) Αλυκή Πάφου, Γ) Αλυκή Λευκωσίας, Δ) Αλυκή Αγίας Νάπας"|0|"Какое самое большое соленое озеро на Кипре? Α) Соленое озеро Ларнаки, Β) Соленое озеро Пафоса, Γ) Соленое озеро Никосии, Δ) Соленое озеро Айя-Напы"
27|"Ποιος είναι ο διάδοχος του προέδρου Δημήτρη Χριστόφια;"|"Α) Νίκος Αναστασιάδης, Β) Νίκος Ρολόγης, Γ) Ανδρέας Παπανδρέου, Δ) Αλέξης Τσίπρας"|0|"Кто преемник президента Димитриса Христофиаса? Α) Никос Анастасиадис, Β) Никос Рологис, Γ) Андреас Папандреу, Δ) Алексис Ципрас"
28|"Πόσα χρόνια διαρκεί η θητεία του προέδρου της Κύπρου;"|"Α) 4 χρόνια, Β) 5 χρόνια, Γ) 6 χρόνια, Δ) 7 χρόνια"|1|"Сколько лет длится срок полномочий президента Кипра? Α) 4 года, Β) 5 лет, Γ) 6 лет, Δ) 7 лет"
29|"Ποιος πρόεδρος της Κύπρου υπηρέτησε την περίοδο 2003-2008;"|"Α) Γλαύκος Κληρίδης, Β) Τάσσος Παπαδόπουλος, Γ) Νίκος Αναστασιάδης, Δ) Δημήτρης Χριστόφιας"|1|"Кто был президентом Кипра в период с 2003 по 2008 год? Α) Глафкос Клиридис, Β) Тассос Пападопулос, Γ) Никос Анастасиадис, Δ) Димитрис Христофиас"
30|"Πόσα επίπεδα εκπαίδευσης στο σχολείο υπάρχουν στην Κύπρο;"|"Α) Δημοτικό, Γυμνάσιο, Λύκειο, Β) Προσχολική, Αρχηγείο, Πανεπιστήμιο, Γ) Βασική, Δευτεροβάθμια, Τριτοβάθμια, Δ) Αρχαία, Μεσαία, Ανώτατη"|0|"Сколько уровней образования в школах на Кипре? Α) Начальная, средняя школа, лицей, Β) Дошкольное, высшее, университет, Γ) Базовое, среднее, высшее, Δ) Древнее, среднее, высшее"
31|"Πόσα χρόνια διαρκεί η υποχρεωτική εκπαίδευση στην Κύπρο;"|"Α) 9 χρόνια, Β) 10 χρόνια, Γ) 6 χρόνια, Δ) 7 χρόνια"|0|"Сколько лет длится обязательное образование на Кипре? Α) 9 лет, Β) 10 лет, Γ) 6 лет, Δ) 7 лет"
32|"Ποια προϊόντα τώρα έχουν ΦΠΑ 0;"|"Α) γλυκά, Β) κρέας και λαχανικά, Γ) κρασί, Δ) ούζο"|1|"На какие продукты сейчас действует НДС 0? Α) сладости, Β) мясо и овощи, Γ) вино, Δ) узо"
33|"Ποιο είναι το όνομα του κυπριακού κοινοβουλίου;"|"Α) Βουλή της Κύπρου, Β) Κοινοβουλευτική Συνέλευση, Γ) Εθνοσυνέλευση της Κύπρου, Δ) Κυπριακή Κοινοβουλευτική Αρχή"|0|"Каково название кипрского парламента? Α) Парламент Кипра, Β) Парламентская ассамблея, Γ) Национальное собрание Кипра, Δ) Кипрский парламентский орган"
34|"Πόσα μέλη απαρτίζουν το κυπριακό κοινοβούλιο;"|"Α) 50 μέλη, Β) 80 μέλη, Γ) 100 μέλη, Δ) 120 μέλη"|1|"Сколько членов в парламенте Кипра? Α) 50 членов, Β) 80 членов, Γ) 100 членов, Δ) 120 членов"
35|"Ποιο από τα παρακάτω δεν είναι αρμοδιότητα της κυπριακής Βουλής;"|"Α) Έγκριση νόμων, Β) Ελέγχος της κυβέρνησης, Γ) Προεδρίαση των κοινοβουλευτικών συνεδριάσεων, Δ) Υπογραφή διεθνών συνθηκών"|3|"Что из перечисленного не является обязанностью кипрского парламента? Α) Утверждение законов, Β) Контроль за правительством, Γ) Председательствование на парламентских заседаниях, Δ) Подписание международных договоров"
36|"Πόσο διαρκεί η θητεία των μελών της Βουλής;"|"Α) 3 χρόνια, Β) 4 χρόνια, Γ) 5 χρόνια, Δ) 6 χρόνια"|2|"Каков срок полномочий членов парламента? Α) 3 года, Β) 4 года, Γ) 5 лет, Δ) 6 лет"
37|"Ποιος είναι ο ανώτατος δικαστής στην Κύπρο;"|"Α) Δικαστήριο, Β) Ανώτατο Δικαστικό Συμβούλιο, Γ) Ανώτατο Δικαστήριο της Κύπρου, Δ) Ανώτατο Δικαστικό Συμβούλιο της Κύπρου"|2|"Кто является верховным судьей на Кипре? Α) Суд, Β) Верховный судебный совет, Γ) Верховный суд Кипра, Δ) Верховный судебный совет Кипра"
38|"Ποια είναι η αρμοδιότητα του Ανώτατου Δικαστηρίου της Κύπρου;"|"Α) Αποφάσεις σε ποινικές υποθέσεις, Β) Εκδίκαση διοικητικών διαφορών, Γ) Αποφάσεις σε αστικές διαφορές, Δ) Αναίρεση αποφάσεων των κατώτερων δικαστηρίων"|3|"Какова обязанность Верховного суда Кипра? Α) Решение уголовных дел, Β) Рассмотрение административных споров, Γ) Решение гражданских споров, Δ) Отмена решений нижестоящих судов"
39|"Ποια πόλη είναι η πρωτεύουσα της Κύπρου;"|"Α) Λευκωσία, Β) Λεμεσός, Γ) Λάρνακα, Δ) Πάφος"|0|"Какой город является столицей Кипра? Α) Никосия, Β) Лимасол, Γ) Ларнака, Δ) Пафос"
40|"Ποιες είναι οι επίσημες γλώσσες της Κύπρου;"|"Α) ελληνική και αγγλική, Β) τουρκική και ελληνική, Γ) Αγγλική, Δ) Ρωσική"|1|"Какие официальные языки на Кипре? Α) греческий и английский, Β) турецкий и греческий, Γ) английский, Δ) русский"
41|"Ποια είναι η παραδοσιακή μουσική έκφραση της Κύπρου;"|"Α) Ζέιμπέκικος, Β) Τσιφτετέλι, Γ) Συρτός, Δ) Καλαματιανός"|2|"Какое традиционное музыкальное выражение Кипра? Α) Зейбек, Β) Чифтетели, Γ) Сиртос, Δ) Калааматьянос"
42|"Ποιο είναι το παραδοσιακό κρασί της Κύπρου;"|"Α) Κουμανδαρία, Β) Μαυρούδι, Γ) Μαυροτράγουδο, Δ) Μαυροσκούφτικο"|1|"Какое традиционное кипрское вино? Α) Командария, Β) Мавруди, Γ) Мавротрагудо, Δ) Мавроскуфтико"
43|"Ποια είναι η παραδοσιακή γαστρονομία της Κύπρου;"|"Α) Κεμεντζές, Β) Σουβλάκι, Γ) Παστίτσιο, Δ) Σούβλα"|3|"Какая традиционная кулинария на Кипре? Α) Кемендзес, Β) Шашлык, Γ) Пастицио, Δ) Сувла"
44|"Ποιο είναι το εθνικό ζώο της Κύπρου;"|"Α) Μελανόχρωμη γείτονας, Β) Ανηλιάριος, Γ) Μουφλόν, Δ) Χαράδρα"|2|"Какое национальное животное Кипра? Α) Черный сосед, Β) Анилиариос, Γ) Муфлон, Δ) Харадна"
45|"Ποιο είδος θαλάσσιας χελώνας είναι γνωστό ότι αναπαράγεται στις παραλίες της Κύπρου;"|"Α) Χελώνα της Καραϊβικής, Β) Χελώνα του Ατλαντικού, Γ) Χελώνα του Ειρηνικού, Δ) Χελώνα Καρέτα Καρέτα"|3|"Какой вид морской черепахи известно, что размножается на пляжах Кипра? Α) Карибская черепаха, Β) Атлантическая черепаха, Γ) Тихоокеанская черепаха, Δ) Черепаха Каретта Каретта"
46|"Ποιο από τα ποιήματα του Βασίλη Μιχαηλίδη είναι ιδιαίτερα γνωστό;"|"Α) «Ο Περίπλους του Ερωτοκρίτου», Β) «Οι Καμένες Πέτρες», Γ) «Ο Πόλεμος», Δ) «Η 9η Ιουλίου του 1821 εν Λευκωσία Κύπρου»"|3|"Какое из стихотворений Василиса Михайлидиса особенно известно? Α) «О Перифлусе Эротокрита», Β) «Сожженные камни», Γ) «Война», Δ) «9 июля 1821 года в Никосии, Кипр»"
47|"Ποιος όρος χρησιμοποιείται για να περιγράψει την γραμμή που χωρίζει την Κύπρο σε δύο μέρη;"|"Α) Μαύρη γραμμή, Β) Κόκκινη γραμμή, Γ) Πράσινη γραμμή, Δ) Μπλε γραμμή"|2|"Какой термин используется для описания линии, разделяющей Кипр на две части? Α) Черная линия, Β) Красная линия, Γ) Зеленая линия, Δ) Синяя линия"
48|"Ο ολυμπιονίκης στην Κύπρο ήταν;"|"Α) Ο Παύλος Κοντίδης στο λέιζερ της ιστιοπλοΐας, Β) Ο Ιωάννης Ανδρέου στην κολύμβηση, Γ) Ο Αναστάσιος Γαβρίλης στην ιστιοπλοΐα, Δ) Ο Πύρρος Δήμας στην άρση βαρών"|0|"Кто был олимпийским чемпионом на Кипре? Α) Павлос Контидис в парусном спорте на лазере, Β) Иоаннис Андреу в плавании, Γ) Анастасиос Гаврилис в парусном спорте, Δ) Пиррос Димас в тяжелой атлетике"
49|"Ποιος οργανισμός είναι υπεύθυνος για τη διαχείριση και την επιτήρηση της Πράσινης Γραμμής;"|"Α) Ηνωμένα Έθνη, Β) Ευρωπαϊκή Ένωση, Γ) Κυπριακή Δημοκρατία, Δ) Τουρκική Δημοκρατία της Βόρειας Κύπρου"|0|"Какая организация отвечает за управление и контроль Зелёной линии? Α) Организация Объединенных Наций, Β) Европейский Союз, Γ) Кипрская Республика, Δ) Турецкая Республика Северного Кипра"
50|"Ποιος είναι ο κύριος στόχος της Πράσινης Γραμμής;"|"Α) Η εδαφική διαίρεση της Κύπρου, Β) Η προώθηση του τουρισμού, Γ) Η προστασία του φυσικού περιβάλλοντος, Δ) Η διευκόλυνση της εμπορίας"|0|"Какова основная цель Зелёной линии? Α) Территориальное разделение Кипра, Β) Продвижение туризма, Γ) Защита природной среды, Δ) Содействие торговле"
51|"Ποια είναι η εθνική σημαία της Κύπρου;"|"Α) άσπρη όπου προβάλλεται ο χάρτης της Κύπρου σε κίτρινο χρώμα του χαλκού, Β) Λευκή με ένα μπλε σταυρό στο κέντρο, Γ) άσπρη όπου προβάλλεται ο χάρτης της Κύπρου σε κίτρινο χρώμα του χαλκού, κάτω υπάρχουν δύο κλαδιά ελιάς ενωμένα στις άκρες, Δ) Κόκκινη με δύο κλαδιά ελιάς ενωμένα στις άκρες"|2|"Какая национальная флаг Кипра? Α) Белый с картой Кипра в желтом цвете меди, Β) Белый с синим крестом в центре, Γ) Белый с картой Кипра в желтом цвете меди, ниже два соединенных оливковых ветви, Δ) Красный с двумя соединенными оливковыми ветвями"
52|"Ποιο χρώμα αντιπροσωπεύει την ειρήνη στην σημαία της Κύπρου;"|"Α) Κόκκινο, Β) Μπλε, Γ) Λευκό, Δ) Πράσινο"|2|"Какой цвет символизирует мир на флаге Кипра? Α) Красный, Β) Синий, Γ) Белый, Δ) Зеленый"
53|"Τι συμβολίζουν δύο πράσινα κλαδιά ελιάς της σημαίας της Κύπρου;"|"Α) Την ανεξαρτησία της χώρας, Β) Τη θρησκευτική πίστη των κατοίκων, Γ) Τον πολιτισμό και την πολυμορφία της Κύπρου, Δ) Την ειρήνη μεταξύ όλων των Κυπρίων"|3|"Что символизируют две зеленые оливковые ветви на флаге Кипра? Α) Независимость страны, Β) Религиозную веру жителей, Γ) Культуру и разнообразие Кипра, Δ) Мир между всеми киприотами"
54|"Πότε εγκρίθηκε η τρέχουσα σχεδίαση της σημαίας της Κύπρου;"|"Α) Το 1960, Β) Το 1974, Γ) Το 1980, Δ) Το 2006"|0|"Когда был утвержден текущий дизайн флага Кипра? Α) В 1960 году, Β) В 1974 году, Γ) В 1980 году, Δ) В 2006 году"
55|"Ποια είναι η κυριότερη θρησκεία στην Κύπρο;"|"Α) Χριστιανισμός, Β) Ισλάμ, Γ) Ιουδαϊσμός, Δ) Βουδισμός"|0|"Какая основная религия на Кипре? Α) Христианство, Β) Ислам, Γ) Иудаизм, Δ) Буддизм"
56|"Ποια είναι γνωστή εκκλησία στην Κύπρο;"|"Α) Αγία Άννα, Β) Αγία Λάρνακα, Γ) Αγίου Λαζάρου, Δ) Αγία Μαρώ"|2|"Какая известная церковь на Кипре? Α) Святая Анна, Β) Святая Ларнака, Γ) Святой Лазарь, Δ) Святая Маро"
57|"Ποιο είναι το κύριο διεθνές αεροδρόμιο της Κύπρου;"|"Α) Αεροδρόμιο Λάρνακας, Β) Αεροδρόμιο Πάφου, Γ) Αεροδρόμιο Λευκωσίας, Δ) Αεροδρόμιο Αμμοχώστου"|0|"Какой главный международный аэропорт Кипра? Α) Аэропорт Ларнаки, Β) Аэропорт Пафоса, Γ) Аэропорт Никосии, Δ) Аэропорт Фамагусты"
58|"Ποια αεροπορική εταιρεία είναι η εθνική αεροπορική εταιρεία της Κύπρου;"|"Α) Cyprus Airways, Β) Aegean Airlines, Γ) Ryanair, Δ) Emirates"|0|"Какая авиакомпания является национальной авиакомпанией Кипра? Α) Cyprus Airways, Β) Aegean Airlines, Γ) Ryanair, Δ) Emirates"
59|"Ποιο αεροδρόμιο βρίσκεται πιο κοντά στην πόλη της Λευκωσίας;"|"Α) Αεροδρόμιο Λάρνακας, Β) Αεροδρόμιο Πάφου, Γ) Αεροδρόμιο Λευκωσίας, Δ) Αεροδρόμιο Αμμοχώστου"|0|"Какой аэропорт находится ближе всего к городу Никосия? Α) Аэропорт Ларнаки, Β) Аэропорт Пафоса, Γ) Аэропорт Никосии, Δ) Аэропорт Фамагусты"
60|"Ποιο αεροδρόμιο εξυπηρετεί κυρίως τις τουριστικές περιοχές της Πάφου;"|"Α) Αεροδρόμιο Λάρνακας, Β) Αεροδρόμιο Πάφου, Γ) Αεροδρόμιο Λευκωσίας, Δ) Αεροδρόμιο Αμμοχώστου"|1|"Какой аэропорт обслуживает в основном туристические районы Пафоса? Α) Аэропорт Ларнаки, Β) Аэропорт Пафоса, Γ) Аэропорт Никосии, Δ) Аэропорт Фамагусты"
61|"Ποιο υπουργείο είναι υπεύθυνο για την Οικονομία στην Κύπρο;"|"Α) Υπουργείο Οικονομίας, Β) Υπουργείο Οικονομικών, Γ) Υπουργείο Εμπορίου, Δ) Υπουργείο Ανάπτυξης"|0|"Какое министерство отвечает за экономику на Кипре? Α) Министерство экономики, Β) Министерство финансов, Γ) Министерство торговли, Δ) Министерство развития"
62|"Ποιο υπουργείο είναι υπεύθυνο για την Εκπαίδευση στην Κύπρο;"|"Α) Υπουργείο Παιδείας, Αθλητισμού και Νεολαίας, Β) Υπουργείο Παιδείας, Γ) Υπουργείο Πολιτισμού, Δ) Υπουργείο Παιδείας και Αθλητισμού"|0|"Какое министерство отвечает за образование на Кипре? Α) Министерство образования, спорта и молодежи, Β) Министерство образования, Γ) Министерство культуры, Δ) Министерство образования и спорта"
63|"Ποιο υπουργείο είναι υπεύθυνο για την Υγεία στην Κύπρο;"|"Α) Υπουργείο Υγείας, Β) Υπουργείο Κοινωνικών Υπηρεσιών, Γ) Υπουργείο Δημόσιας Υγείας, Δ) Υπουργείο Κοινωνικής Πρόνοιας"|0|"Какое министерство отвечает за здравоохранение на Кипре? Α) Министерство здравоохранения, Β) Министерство социальных услуг, Γ) Министерство общественного здравоохранения, Δ) Министерство социальной защиты"
64|"Ποιο υπουργείο είναι υπεύθυνο για την Αμυντική Πολιτική στην Κύπρο;"|"Α) Υπουργείο Εσωτερικών, Β) Υπουργείο Εθνικής Άμυνας, Γ) Υπουργείο Προεδρίας, Δ) Υπουργείο Άμυνας"|3|"Какое министерство отвечает за оборонную политику на Кипре? Α) Министерство внутренних дел, Β) Министерство национальной обороны, Γ) Министерство президентства, Δ) Министерство обороны"
65|"Ποιο υπουργείο είναι υπεύθυνο για την έκδοση του διαβατηρίου στην Κύπρο;"|"Α) Υπουργείο Μεταφορών, Β) Υπουργείο Τουρισμού, Γ) Υπουργείο Εργασίας και Κοινωνικών Ασφαλίσεων, Δ) Υπουργείο Εσωτερικών"|3|"Какое министерство отвечает за выдачу паспортов на Кипре? Α) Министерство транспорта, Β) Министерство туризма, Γ) Министерство труда и социального обеспечения, Δ) Министерство внутренних дел"
66|"Τα Λεύκαρα είναι γνωστά με _____ που είναι μέρος της Παγκόσμιας Κληρονομίας UNESCO;"|"Α) Το Λευκαριτικό Κάστρο, Β) Τον Αρχαιολογικό Χώρο των Λευκάρων, Γ) Τον Καθεδρικό Ναό των Λευκάρων, Δ) Το Λευκαρίτικο κέντημα"|3|"Лефкара известна _____, которая является частью Всемирного наследия ЮНЕСКО: Α) Замок Лефкары, Β) Археологическая зона Лефкары, Γ) Кафедральный собор Лефкары, Δ) Лефкарское кружево"
67|"Ποιος ήταν ο Βασίλης Μιχαηλίδης;"|"Α) Ένας ποιητής από την Κύπρο, Β) Ένας πεζογράφος από την Κύπρο, Γ) Ένας πολιτικός από την Κύπρο, Δ) Ένας μουσικός από την Κύπρο"|0|"Кем был Василис Михайлидис? Α) Поэтом из Кипра, Β) Прозаиком из Кипра, Γ) Политиком из Кипра, Δ) Музыкантом из Кипра"
68|"Ποια ήταν η γλώσσα που χρησιμοποίησε ο Βασίλης Μιχαηλίδης στις ποιητικές του συλλογές;"|"Α) Ελληνική και Κυπριακή διάλεκτος, Β) Αγγλική, Γ) Γαλλική, Δ) Τουρκική"|0|"Какой язык использовал Василис Михайлидис в своих поэтических сборниках? Α) Греческий и кипрский диалект, Β) Английский, Γ) Французский, Δ) Турецкий"
